index,sum,count,cellsize
146,58701781.000000,137581,30.000000
147,64987808.000000,129761,30.000000
148,67633901.000000,151040,30.000000
149,73853706.000000,149735,30.000000
150,81490500.000000,143352,30.000000
151,87051033.000000,155380,30.000000
152,88643892.000000,178025,30.000000
153,88675970.000000,198646,30.000000
154,88207293.000000,219042,30.000000
155,86327080.000000,227631,30.000000
156,84020380.000000,225222,30.000000
157,80297919.000000,212154,30.000000
158,61683336.000000,186129,30.000000
159,58179033.000000,154664,30.000000
160,66899216.000000,138146,30.000000
161,71008565.000000,141944,30.000000
162,72273174.000000,145850,30.000000
163,76731855.000000,134228,30.000000
164,80988619.000000,130293,30.000000
165,82367670.000000,142830,30.000000
166,83105097.000000,161276,30.000000
167,82767047.000000,174392,30.000000
168,82001848.000000,183714,30.000000
169,81237662.000000,191420,30.000000
170,80261213.000000,196112,30.000000
171,78444605.000000,197866,30.000000
172,76837764.000000,196418,30.000000
173,72431454.000000,189302,30.000000
174,58786353.000000,168977,30.000000
175,57221833.000000,143987,30.000000
176,67449184.000000,133891,30.000000
177,73567975.000000,141388,30.000000
178,80041848.000000,137023,30.000000
179,88368305.000000,149900,30.000000
180,95990988.000000,168641,30.000000
181,94870050.000000,185573,30.000000
182,91749464.000000,200599,30.000000
183,87336659.000000,212660,30.000000
184,84441607.000000,216793,30.000000
185,81283060.000000,211422,30.000000
186,77635881.000000,200071,30.000000
187,72393353.000000,184531,30.000000
188,60390425.000000,166759,30.000000
189,58672694.000000,145349,30.000000
190,68280170.000000,132648,30.000000
191,72620393.000000,127544,30.000000
192,76088174.000000,126743,30.000000
193,81249079.000000,130122,30.000000
194,85661563.000000,141620,30.000000
195,86393849.000000,157556,30.000000
196,84895433.000000,171001,30.000000
197,82012191.000000,180123,30.000000
198,79431661.000000,186885,30.000000
199,77353392.000000,191614,30.000000
200,75233756.000000,193318,30.000000
201,73342290.000000,190869,30.000000
202,71589287.000000,184344,30.000000
203,66746715.000000,172490,30.000000
204,55281222.000000,157190,30.000000
205,65193129.000000,145674,30.000000
206,75995113.000000,144957,30.000000
207,85985020.000000,149978,30.000000
208,91237035.000000,160840,30.000000
209,91866685.000000,171380,30.000000
210,92078938.000000,182853,30.000000
211,85948638.000000,189538,30.000000
212,79480034.000000,194089,30.000000
213,74300723.000000,192894,30.000000
214,71458488.000000,187545,30.000000
215,68820241.000000,179199,30.000000
216,66362340.000000,168672,30.000000
217,61894483.000000,152938,30.000000
218,54427260.000000,137909,30.000000
219,56484645.000000,131335,30.000000
220,66473475.000000,126949,30.000000
221,71983124.000000,126077,30.000000
222,77238033.000000,126918,30.000000
223,79435470.000000,132523,30.000000
224,81309871.000000,140937,30.000000
225,78818737.000000,153954,30.000000
226,75591550.000000,165972,30.000000
227,71671733.000000,173729,30.000000
228,67871301.000000,177428,30.000000
229,65962946.000000,178077,30.000000
230,64305403.000000,173666,30.000000
231,62015044.000000,163091,30.000000
232,61277162.000000,152401,30.000000
233,60280811.000000,155241,30.000000
234,55596693.000000,157114,30.000000
235,69532806.000000,155205,30.000000
236,80812648.000000,153690,30.000000
237,84811841.000000,156969,30.000000
238,82681634.000000,160853,30.000000
239,80550024.000000,165940,30.000000
240,73233410.000000,168818,30.000000
241,65590055.000000,168016,30.000000
242,60255717.000000,163826,30.000000
243,57622292.000000,155099,30.000000
244,56048417.000000,142782,30.000000
245,55465942.000000,134588,30.000000
246,55153153.000000,133740,30.000000
